Validator,PT_VERSION,2.12.0
Validator,HIP_VERSION,714
Validator,HIPBLASLT_VERSION,100401-cd957402
Validator,GCN_ARCH_NAME,gfx1030
Validator,ROCBLAS_VERSION,5.5.0.cd957402
GemmTunableOp_Half_TN,tn_1152_6400_1536_ld_1536_1536_1152,Gemm_Rocblas_-1086326045,0.714544
GemmTunableOp_Half_TN,tn_864_6400_1152_ld_1152_1152_864,Gemm_Rocblas_-1086326052,0.395011
GemmStridedBatchedTunableOp_float_TN,tn_6400_6400_72_B_4_ld_288_288_6400,Gemm_Rocblas_-1086325174,1.9627
GemmStridedBatchedTunableOp_float_NN,nn_72_6400_6400_B_4_ld_288_6400_72,Gemm_Rocblas_-1086327512,2.47076
GemmTunableOp_Half_TN,tn_1152_6400_288_ld_288_288_1152,Default,0.149183
GemmTunableOp_Half_TN,tn_1076_6400_1152_ld_1152_1152_1076,Gemm_Rocblas_-1086326045,0.527164
GemmTunableOp_Half_TN,tn_1152_6400_1076_ld_1076_1076_1152,Default,0.506925
GemmTunableOp_Half_TN,tn_1152_1600_4608_ld_4608_4608_1152,Gemm_Rocblas_-1086326063,0.720799
GemmTunableOp_Half_TN,tn_2560_1600_1152_ld_1152_1152_2560,Gemm_Rocblas_-1086326056,0.357555
GemmTunableOp_Half_TN,tn_336_2048_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326083,0.732878
GemmTunableOp_Half_TN,tn_10240_2048_320_ld_320_320_10240,Default,0.399294
GemmTunableOp_Half_TN,tn_4096_2048_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326063,1.51397
GemmTunableOp_Half_TN,tn_24_2048_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326139,0.0564291
GemmTunableOp_Half_TN,tn_2560_2048_1536_ld_1536_1536_2560,Gemm_Rocblas_-1086326045,0.538908
GemmTunableOp_Half_TN,tn_512_2048_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326063,0.208119
GemmTunableOp_Half_TN,tn_320_2048_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326082,0.185075
GemmTunableOp_Half_TN,tn_2560_2048_160_ld_160_160_2560,Gemm_Rocblas_-1086326071,0.06477
GemmTunableOp_Half_NN,nn_1_2048_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0320344
GemmTunableOp_Half_TN,tn_10240_2048_2560_ld_2560_2560_10240,Default,2.98971
GemmTunableOp_Half_TN,tn_2560_2048_2560_ld_2560_2560_2560,Default,0.850248
GemmTunableOp_Half_TN,tn_3584_2048_2560_ld_2560_2560_3584,Default,1.1722
GemmTunableOp_Half_TN,tn_320_2048_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326082,0.717068
GemmTunableOp_Half_TN,tn_336_876_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326128,0.348628
GemmTunableOp_Half_TN,tn_10240_876_320_ld_320_320_10240,Default,0.197681
GemmTunableOp_Half_TN,tn_4096_876_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326277,0.655163
GemmTunableOp_Half_TN,tn_24_876_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326202,0.0424638
GemmTunableOp_Half_TN,tn_2560_876_1536_ld_1536_1536_2560,Default,0.240308
GemmTunableOp_Half_TN,tn_512_876_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326082,0.127838
GemmTunableOp_Half_TN,tn_320_876_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326122,0.105081
GemmTunableOp_Half_TN,tn_2560_876_160_ld_160_160_2560,Gemm_Rocblas_-1086326071,0.0433706
GemmTunableOp_Half_NN,nn_1_876_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.018663
GemmTunableOp_Half_TN,tn_10240_876_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326045,1.58128
GemmTunableOp_Half_TN,tn_2560_876_2560_ld_2560_2560_2560,Gemm_Rocblas_-1086326077,0.390235
GemmTunableOp_Half_TN,tn_3584_876_2560_ld_2560_2560_3584,Gemm_Rocblas_-1086326045,0.636821
GemmTunableOp_Half_TN,tn_640_876_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326077,0.140144
GemmTunableOp_Half_TN,tn_320_876_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326128,0.356535
GemmTunableOp_Half_TN,tn_640_2048_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326268,0.294245
GemmTunableOp_Half_TN,tn_336_652_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326082,0.236832
GemmTunableOp_Half_TN,tn_10240_652_320_ld_320_320_10240,Default,0.171993
GemmTunableOp_Half_TN,tn_4096_652_2560_ld_2560_2560_4096,Default,0.606467
GemmTunableOp_Half_TN,tn_24_652_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326202,0.0378765
GemmTunableOp_Half_TN,tn_2560_652_1536_ld_1536_1536_2560,Default,0.230639
GemmTunableOp_Half_TN,tn_512_652_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326127,0.10436
GemmTunableOp_Half_TN,tn_320_652_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326128,0.0829587
GemmTunableOp_Half_TN,tn_2560_652_160_ld_160_160_2560,Gemm_Rocblas_-1086326068,0.0371705
GemmTunableOp_Half_NN,nn_1_652_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0165566
GemmTunableOp_Half_TN,tn_10240_652_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326063,1.40752
GemmTunableOp_Half_TN,tn_2560_652_2560_ld_2560_2560_2560,Gemm_Rocblas_-1086326268,0.398497
GemmTunableOp_Half_TN,tn_3584_652_2560_ld_2560_2560_3584,Default,0.534828
GemmTunableOp_Half_TN,tn_640_652_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326082,0.126895
GemmTunableOp_Half_TN,tn_320_652_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326082,0.234415
GemmTunableOp_Half_TN,tn_336_1160_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326082,0.439528
GemmTunableOp_Half_TN,tn_10240_1160_320_ld_320_320_10240,Default,0.29794
GemmTunableOp_Half_TN,tn_4096_1160_2560_ld_2560_2560_4096,Default,0.999283
GemmTunableOp_Half_TN,tn_24_1160_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326202,0.0503838
GemmTunableOp_Half_TN,tn_336_48_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326210,0.0844958
GemmTunableOp_Half_TN,tn_10240_48_320_ld_320_320_10240,Gemm_Rocblas_-1086326255,0.038328
